,date,num_infections,num_hosp,num_uci,num_dead,cumu_num_infections,cumu_num_hosp,cumu_num_uci,cumu_num_dead,ave_7_num_infections,ave_7_num_hosp,ave_7_num_uci,ave_7_num_dead
0,2020-01-18,1,1,0,0,1,1,0,0,,,,
1,2020-01-31,1,0,0,0,2,1,0,0,,,,
2,2020-02-09,1,1,0,0,3,2,0,0,,,,
3,2020-02-12,3,0,0,0,6,2,0,0,,,,
4,2020-02-21,1,0,0,0,7,2,0,0,,,,
5,2020-02-22,1,0,0,0,8,2,0,0,,,,
6,2020-02-23,2,0,0,0,10,2,0,0,1.4285714285714286,0.2857142857142857,0.0,0.0
7,2020-02-24,2,1,1,0,12,3,1,0,1.5714285714285714,0.2857142857142857,0.14285714285714285,0.0
8,2020-02-25,1,1,0,0,13,4,1,0,1.5714285714285714,0.42857142857142855,0.14285714285714285,0.0
9,2020-02-26,7,5,1,0,20,9,2,0,2.4285714285714284,1.0,0.2857142857142857,0.0
10,2020-02-27,23,9,1,0,43,18,3,0,5.285714285714286,2.2857142857142856,0.42857142857142855,0.0
11,2020-02-28,23,13,3,0,66,31,6,0,8.428571428571429,4.142857142857143,0.8571428571428571,0.0
12,2020-02-29,18,15,1,0,84,46,7,0,10.857142857142858,6.285714285714286,1.0,0.0
13,2020-03-01,38,35,3,0,122,81,10,0,16.0,11.285714285714286,1.4285714285714286,0.0
14,2020-03-02,71,79,8,0,193,160,18,0,25.857142857142858,22.428571428571427,2.4285714285714284,0.0
15,2020-03-03,84,104,8,1,277,264,26,1,37.714285714285715,37.142857142857146,3.5714285714285716,0.14285714285714285
16,2020-03-04,99,117,8,1,376,381,34,2,50.857142857142854,53.142857142857146,4.571428571428571,0.2857142857142857
17,2020-03-05,188,170,22,1,564,551,56,3,74.42857142857143,76.14285714285714,7.571428571428571,0.42857142857142855
18,2020-03-06,273,192,20,3,837,743,76,6,110.14285714285714,101.71428571428571,10.0,0.8571428571428571
19,2020-03-07,289,223,20,2,1126,966,96,8,148.85714285714286,131.42857142857142,12.714285714285714,1.1428571428571428
20,2020-03-08,369,257,28,13,1495,1223,124,21,196.14285714285714,163.14285714285714,16.285714285714285,3.0
21,2020-03-09,648,468,40,14,2143,1691,164,35,278.57142857142856,218.71428571428572,20.857142857142858,5.0
22,2020-03-10,1018,585,60,27,3161,2276,224,62,412.0,287.42857142857144,28.285714285714285,8.714285714285714
23,2020-03-11,1332,766,70,34,4493,3042,294,96,588.1428571428571,380.14285714285717,37.142857142857146,13.428571428571429
24,2020-03-12,1783,962,96,53,6276,4004,390,149,816.0,493.2857142857143,47.714285714285715,20.857142857142858
25,2020-03-13,2123,1056,141,77,8399,5060,531,226,1080.2857142857142,616.7142857142857,65.0,31.428571428571427
26,2020-03-14,1991,1114,122,99,10390,6174,653,325,1323.4285714285713,744.0,79.57142857142857,45.285714285714285
27,2020-03-15,2223,1291,151,125,12613,7465,804,450,1588.2857142857142,891.7142857142857,97.14285714285714,61.285714285714285
28,2020-03-16,3158,2009,204,174,15771,9474,1008,624,1946.857142857143,1111.857142857143,120.57142857142857,84.14285714285714
29,2020-03-17,4373,2354,242,189,20144,11828,1250,813,2426.1428571428573,1364.5714285714287,146.57142857142858,107.28571428571429
30,2020-03-18,4646,2974,294,243,24790,14802,1544,1056,2899.5714285714284,1680.0,178.57142857142858,137.14285714285714
31,2020-03-19,5690,3203,317,315,30480,18005,1861,1371,3457.714285714286,2000.142857142857,210.14285714285714,174.57142857142858
32,2020-03-20,6343,3791,322,429,36823,21796,2183,1800,4060.5714285714284,2390.8571428571427,236.0,224.85714285714286
