INDICATIVO;NOMBRE;PROVINCIA;MUNICIPIO;ALTITUD;LONGITUD;LATITUD;DATUM
1387;A CORUÑA;A CORUÑA;A CORUÑA;58;0825172;432157;ETRS89
1387E;A CORUÑA/ALVEDRO;A CORUÑA;CULLEREDO;98;0822192;431825;ETRS89
1428;SANTIAGO DE COMPOSTELA/LABACOLLA;A CORUÑA;O PINO;370;0824382;425317;ETRS89
8175;ALBACETE/LOS LLANOS;ALBACETE;ALBACETE;702;0151232;385715;ETRS89
8178D;ALBACETE,OBS.;ALBACETE;ALBACETE;676;0151442;390020;ETRS89
8025;ALICANTE;ALICANTE;ALICANTE/ALACANT;81;0029392;382221;ETRS89
8019;ALICANTE-ELCHE/AEROPUERTO;ALICANTE;ELCHE/ELX;43;0034152;381658;ETRS89
6325O;ALMERÍA/AEROPUERTO;ALMERIA;ALMERÍA;21;0221252;365047;ETRS89
9091O;FORONDA-TXOKIZA;ARABA/ALAVA;VITORIA-GASTEIZ;513;0244062;425255;ETRS89
1212E;ASTURIAS/AVILÉS;ASTURIAS;CASTRILLÓN;127;0602392;433401;ETRS89
1208H;GIJÓN, MUSEL;ASTURIAS;GIJÓN;5;0542032;433336;ETRS89
1249I;OVIEDO;ASTURIAS;OVIEDO;336;0552272;432112;ETRS89
2444;ÁVILA;AVILA;ÁVILA;1130;0440482;403933;ETRS89
4452;BADAJOZ/TALAVERA LA REAL;BADAJOZ;BADAJOZ;185;0648502;385300;ETRS89
B954;IBIZA/ES CODOLÁ;BALEARES;SANT JOSEP DE SA TALAIA;6;0123041;385235;ETRS89
B893;MENORCA/AEROPUERTO;BALEARES;MAÓ-MAHÓN;91;0412561;395117;ETRS89
B278;PALMA DE MALLORCA/SON SAN JUAN;BALEARES;PALMA;8;0244121;393339;ETRS89
B228;PALMA-PUERTO;BALEARES;PALMA;3;0237311;393319;ETRS89
0200E;BARCELONA (FABRA);BARCELONA;BARCELONA;408;0207271;412506;ETRS89
0076;BARCELONA/AEROPUERTO;BARCELONA;EL PRAT DE LLOBREGAT;4;0204121;411734;ETRS89
1082;BILBAO/AEROPUERTO;BIZKAIA;LOIU;42;0254232;431753;ETRS89
2331;BURGOS/VILLAFRÍA;BURGOS;BURGOS;891;0337132;422125;ETRS89
3469A;CÁCERES;CACERES;CÁCERES;394;0620202;392817;ETRS89
5973;CÁDIZ,OBS.;CADIZ;CÁDIZ;2;0615282;362959;ETRS89
5960;JEREZ DE LA FRONTERA/AEROPUERTO;CADIZ;JEREZ DE LA FRONTERA;27;0603212;364502;ETRS89
5910;ROTA B.N.OBSERVATORIO';CADIZ;ROTA;21;0619572;363820;ETRS89
6001;TARIFA;CADIZ;TARIFA;32;0535562;360050;ETRS89
1111;SANTANDER I,CMT;CANTABRIA;SANTANDER;52;0348022;432928;ETRS89
1109;SANTANDER/PARAYAS;CANTABRIA;CAMARGO;3;0349322;432526;ETRS89
8500A;CASTELLÓN-ALMASSORA;CASTELLON;ALMASSORA;43;0004192;395726;ETRS89
5000C;CEUTA;CEUTA;CEUTA;87;0520492;355319;ETRS89
4121;CIUDAD REAL;CIUDAD REAL;CIUDAD REAL;628;0355132;385921;ETRS89
5402;CÓRDOBA/AEROPUERTO;CORDOBA;CÓRDOBA;90;0450482;375056;ETRS89
8096;CUENCA;CUENCA;CUENCA;948;0207552;400402;ETRS89
1014;HONDARRIBIA-MALKARROA;GIPUZKOA;HONDARRIBIA;4;0147322;432125;ETRS89
1024E;SAN SEBASTIÁN,IGUELDO;GIPUZKOA;DONOSTIA/SAN SEBASTIÁN;251;0202282;431823;ETRS89
0367;GIRONA/COSTA BRAVA;GIRONA;VILOBÍ D'ONYAR;143;0245481;415442;ETRS89
5530E;GRANADA/AEROPUERTO;GRANADA;CHAUCHINA;567;0347222;371123;ETRS89
5514;GRANADA/BASE AÉREA;GRANADA;ALHENDÍN;687;0337532;370814;ETRS89
3013;MOLINA DE ARAGÓN;GUADALAJARA;MOLINA DE ARAGÓN;1062;0152442;405030;ETRS89
4642E;HUELVA, RONDA ESTE;HUELVA;HUELVA;19;0654422;371642;ETRS89
9898;HUESCA/PIRINEOS;HUESCA;ALCALÁ DEL OBISPO;546;0019322;420504;ETRS89
5270B;JAÉN;JAEN;JAÉN;580;0348322;374639;ETRS89
9170;LOGROÑO/AGONCILLO;LA RIOJA;AGONCILLO;353;0219522;422708;ETRS89
C249I;FUERTEVENTURA/AEROPUERTO;LAS PALMAS;PUERTO DEL ROSARIO;25;1351472;282641;REGCAN95
C649I;GRAN CANARIA/AEROPUERTO;LAS PALMAS;INGENIO;32;1523432;275504;REGCAN95
C029O;LANZAROTE/AEROPUERTO;LAS PALMAS;SAN BARTOLOMÉ;14;1336012;285707;REGCAN95
2661;LEÓN/VIRGEN DEL CAMINO;LEON;VALVERDE DE LA VIRGEN;912;0539042;423518;ETRS89
1549;PONFERRADA;LEON;PONFERRADA;534;0636002;423350;ETRS89
9771C;LLEIDA;LLEIDA;LLEIDA;185;0035531;413734;ETRS89
1505;LUGO/ROZAS;LUGO;CASTRO DE REI;445;0727272;430641;ETRS89
3191E;COLMENAR VIEJO/FAMET;MADRID;COLMENAR VIEJO;1004;0345542;404146;ETRS89
3129;MADRID/BARAJAS;MADRID;MADRID;609;0333202;402800;ETRS89
3196;MADRID/CUATRO VIENTOS;MADRID;MADRID;690;0347102;402232;ETRS89
3200;MADRID/GETAFE;MADRID;GETAFE;620;0343202;401758;ETRS89
3195;MADRID,RETIRO;MADRID;MADRID;667;0340412;402443;ETRS89
3175;MADRID/TORREJÓN;MADRID;TORREJÓN DE ARDOZ;607;0326372;402919;ETRS89
2462;NAVACERRADA,PUERTO;MADRID;CERCEDILLA;1894;0400382;404735;ETRS89
6155A;MÁLAGA/AEROPUERTO;MALAGA;MÁLAGA;5;0428562;363958;ETRS89
6000A;MELILLA;MELILLA;MELILLA;52;0257232;351635;ETRS89
7178I;MURCIA;MURCIA;MURCIA;61;0110152;380007;ETRS89
7228;MURCIA/ALCANTARILLA;MURCIA;MURCIA;75;0113432;375728;ETRS89
