date,autonomous_region,province,num_infections,num_hosp,num_uci,num_dead,Number of infection (%),Number of hospitalisation (%),Number of Intensive Care Unit (%),Number of deaths (%),ave_7_num_infections,ave_7_num_hosp,ave_7_num_uci,ave_7_num_dead
2020-01-18,Comunidad de Madrid,Madrid,1,1,0,0,0.0,0.0,0.0,0.0,,,,
2020-01-31,Canarias,Santa Cruz de Tenerife,1,0,0,0,0.0,0.0,0.0,0.0,,,,
2020-02-09,Illes Balears,Illes Balears,1,1,0,0,0.0,0.0,0.0,0.0,,,,
2020-02-12,Catalunya,Barcelona,1,0,0,0,0.0,0.0,0.0,0.0,,,,
2020-02-12,Catalunya,Lleida,1,0,0,0,0.0,0.0,0.0,0.0,,,,
2020-02-12,Comunidad de Madrid,Madrid,1,0,0,0,0.0,0.0,0.0,0.0,,,,
2020-02-21,Catalunya,Barcelona,1,0,0,0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0
2020-02-22,Castilla y León,Burgos,1,0,0,0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
2020-02-23,La Rioja,La Rioja,2,0,0,0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
2020-02-24,Aragón,Zaragoza,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,Comunidad de Madrid,Madrid,1,1,1,0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0
2020-02-25,Canarias,Santa Cruz de Tenerife,1,1,0,0,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0
2020-02-26,Andalucía,Sevilla,1,0,0,0,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0
2020-02-26,Comunidad Valenciana,Castellón,1,1,0,0,0.0,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0
2020-02-26,Comunidad de Madrid,Madrid,4,4,1,0,0.0,0.0,0.0,0.0,1.0,0.2857142857142857,0.0,0.0
2020-02-26,La Rioja,La Rioja,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2857142857142857,0.0,0.0
2020-02-27,Andalucía,Almería,1,1,0,0,0.0,0.0,0.0,0.0,1.1428571428571428,0.2857142857142857,0.0,0.0
2020-02-27,Canarias,Santa Cruz de Tenerife,3,0,0,0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.0,0.0
2020-02-27,Castilla y León,Salamanca,1,0,0,0,0.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0
2020-02-27,Castilla y León,Segovia,1,0,0,0,0.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0
2020-02-27,Castilla y León,Valladolid,1,0,0,0,0.0,0.0,0.0,0.0,0.7142857142857143,0.14285714285714285,0.0,0.0
2020-02-27,Catalunya,Barcelona,3,0,0,0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
2020-02-27,Comunidad Foral de Navarra,Navarra,1,0,0,0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
2020-02-27,Comunidad Valenciana,Valencia,5,3,0,0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0
2020-02-27,Comunidad de Madrid,Madrid,3,4,1,0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.0,0.0
2020-02-27,Extremadura,Cáceres,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.0,0.0
2020-02-27,Illes Balears,Illes Balears,2,1,0,0,0.0,0.0,0.0,0.0,1.1428571428571428,0.14285714285714285,0.0,0.0
2020-02-27,País Vasco,Araba,1,0,0,0,0.0,0.0,0.0,0.0,1.1428571428571428,0.14285714285714285,0.0,0.0
2020-02-28,Andalucía,Jaén,1,0,0,0,0.0,0.0,0.0,0.0,1.1428571428571428,0.14285714285714285,0.0,0.0
2020-02-28,Andalucía,Málaga,4,0,0,0,0.0,0.0,0.0,0.0,1.1428571428571428,0.14285714285714285,0.0,0.0
2020-02-28,Andalucía,Sevilla,1,0,0,0,0.0,0.0,0.0,0.0,0.7142857142857143,0.14285714285714285,0.0,0.0
2020-02-28,Aragón,Huesca,1,0,0,0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
2020-02-28,Canarias,Santa Cruz de Tenerife,1,0,0,0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
2020-02-28,Catalunya,Barcelona,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,Catalunya,Girona,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,Comunidad Foral de Navarra,Navarra,1,1,1,0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0
2020-02-28,Comunidad Valenciana,Valencia,5,1,0,0,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0
2020-02-28,Comunidad de Madrid,Madrid,6,10,2,0,0.0,0.0,0.0,0.0,1.7142857142857142,0.42857142857142855,0.0,0.0
2020-02-28,Illes Balears,Illes Balears,1,1,0,0,0.0,0.0,0.0,0.0,1.8571428571428572,0.42857142857142855,0.0,0.0
2020-02-29,Andalucía,Málaga,2,0,0,0,0.0,0.0,0.0,0.0,1.8571428571428572,0.42857142857142855,0.0,0.0
2020-02-29,Andalucía,Sevilla,1,0,0,0,0.0,0.0,0.0,0.0,1.8571428571428572,0.42857142857142855,0.0,0.0
2020-02-29,Canarias,Santa Cruz de Tenerife,1,1,0,0,0.0,0.0,0.0,0.0,2.0,0.42857142857142855,0.0,0.0
