autonomous_region,province,num_infections,num_hosp,num_uci,num_dead,Number of infection (%),Number of hospitalisation (%),Number of Intensive Care Unit (%),Number of deaths (%)
Andalucía,Almería,55025,3629,634,739,1.5,1.0,1.9,1.0
Andalucía,Cádiz,81992,5529,628,1354,2.1999999999999997,1.6,1.9,1.7999999999999998
Andalucía,Córdoba,54131,4419,540,889,1.5,1.3,1.6,1.2
Andalucía,Granada,89220,7886,1038,1640,2.4,2.1999999999999997,3.1,2.1999999999999997
Andalucía,Huelva,32583,2147,145,296,0.8999999999999999,0.6,0.4,0.4
Andalucía,Jaén,50988,4412,421,897,1.4000000000000001,1.3,1.3,1.2
Andalucía,Málaga,102494,7974,745,1562,2.8000000000000003,2.3,2.1999999999999997,2.1
Andalucía,Sevilla,132094,10544,1060,1920,3.5999999999999996,3.0,3.2,2.5
Aragón,Huesca,17737,1402,148,361,0.5,0.4,0.4,0.5
Aragón,Teruel,12973,1147,93,297,0.3,0.3,0.3,0.4
Aragón,Zaragoza,88060,9398,898,2432,2.4,2.7,2.7,3.2
Canarias,Las Palmas,30496,2408,603,264,0.8,0.7000000000000001,1.7999999999999998,0.3
Canarias,Santa Cruz de Tenerife,26527,2502,484,359,0.7000000000000001,0.7000000000000001,1.5,0.5
Cantabria,Cantabria,30676,3217,462,514,0.8,0.8999999999999999,1.4000000000000001,0.7000000000000001
Castilla y León,Burgos,35333,3877,360,745,1.0,1.0999999999999999,1.0999999999999999,1.0
Castilla y León,León,39115,4539,302,890,1.0999999999999999,1.3,0.8999999999999999,1.2
Castilla y León,Palencia,19247,1901,244,448,0.5,0.5,0.7000000000000001,0.6
Castilla y León,Salamanca,30671,3565,213,852,0.8,1.0,0.6,1.0999999999999999
Castilla y León,Segovia,16073,1605,162,514,0.4,0.5,0.5,0.7000000000000001
Castilla y León,Soria,8415,949,93,295,0.2,0.3,0.3,0.4
Castilla y León,Valladolid,52431,6194,547,1395,1.4000000000000001,1.7999999999999998,1.6,1.7999999999999998
Castilla y León,Zamora,13105,1532,105,424,0.4,0.4,0.3,0.6
Castilla y León,Ávila,12130,1393,84,325,0.3,0.4,0.3,0.4
Castilla-La Mancha,Albacete,28270,3072,353,723,0.8,0.8999999999999999,1.0999999999999999,1.0
Castilla-La Mancha,Ciudad Real,46430,5402,283,1568,1.3,1.5,0.8999999999999999,2.1
Castilla-La Mancha,Cuenca,19971,1761,110,474,0.5,0.5,0.3,0.6
Castilla-La Mancha,Guadalajara,25854,1342,99,498,0.7000000000000001,0.4,0.3,0.7000000000000001
Castilla-La Mancha,Toledo,72574,5753,457,2083,2.0,1.6,1.4000000000000001,2.8000000000000003
Catalunya,Barcelona,464275,35640,2985,11310,12.5,10.100000000000001,9.0,15.0
Catalunya,Girona,65857,1897,180,1375,1.7999999999999998,0.5,0.5,1.7999999999999998
Catalunya,Lleida,43653,1093,101,578,1.2,0.3,0.3,0.8
Catalunya,Tarragona,52906,2110,217,1058,1.4000000000000001,0.6,0.7000000000000001,1.4000000000000001
Ceuta,Ceuta,3896,149,20,27,0.1,0.0,0.1,0.0
Comunidad Foral de Navarra,Navarra,63263,5751,555,1099,1.7000000000000002,1.6,1.7000000000000002,1.5
Comunidad Valenciana,Alicante,147929,12678,1317,2726,4.0,3.5999999999999996,4.0,3.5999999999999996
Comunidad Valenciana,Castellón,40883,3349,412,716,1.0999999999999999,1.0,1.2,0.8999999999999999
Comunidad Valenciana,Valencia,206778,18733,1675,3708,5.6000000000000005,5.3,5.0,4.9
Comunidad de Madrid,Madrid,725227,100929,7692,15394,19.6,28.7,23.200000000000003,20.4
Extremadura,Badajoz,50058,3324,308,836,1.3,0.8999999999999999,0.8999999999999999,1.0999999999999999
Extremadura,Cáceres,25475,2317,188,771,0.7000000000000001,0.7000000000000001,0.6,1.0
Galicia,A Coruña,56670,6317,1001,1073,1.5,1.7999999999999998,3.0,1.4000000000000001
Galicia,Lugo,12858,1010,118,156,0.3,0.3,0.4,0.2
Galicia,Ourense,15629,1878,162,389,0.4,0.5,0.5,0.5
Galicia,Pontevedra,42928,3844,486,605,1.2,1.0999999999999999,1.5,0.8
Illes Balears,Illes Balears,61036,4566,721,744,1.6,1.3,2.1999999999999997,1.0
La Rioja,La Rioja,31495,3349,367,664,0.8,1.0,1.0999999999999999,0.8999999999999999
Melilla,Melilla,9188,544,78,49,0.2,0.2,0.2,0.1
País Vasco,Araba,29132,2464,202,641,0.8,0.7000000000000001,0.6,0.8
País Vasco,Bizkaia,103005,10420,918,2429,2.8000000000000003,3.0,2.8000000000000003,3.2
País Vasco,Gipuzkoa,70055,2732,281,1179,1.9,0.8,0.8,1.6
Principado de Asturias,Asturias,49352,7910,710,1786,1.3,2.3,2.1,2.4
Región de de Murcia,Murcia,112086,8997,1186,1525,3.0,2.6,3.5999999999999996,2.0
