autonomous_region,province,age_interval,num_infections,num_hosp,num_uci,num_dead,Number of infection (%),Number of hospitalisation (%),Number of Intensive Care Unit (%),Number of deaths (%)
Andalucía,Almería,0-9,5393,34,3,1,0.1,0.0,0.0,0.0
Andalucía,Almería,10-19,7480,27,2,0,0.2,0.0,0.0,0.0
Andalucía,Almería,20-29,8210,136,19,4,0.2,0.0,0.1,0.0
Andalucía,Almería,30-39,8657,305,35,6,0.2,0.1,0.1,0.0
Andalucía,Almería,40-49,9457,476,97,25,0.3,0.1,0.3,0.0
Andalucía,Almería,50-59,7291,676,165,58,0.2,0.2,0.5,0.1
Andalucía,Almería,60-69,4366,743,189,124,0.1,0.2,0.6,0.2
Andalucía,Almería,70-79,2411,676,113,200,0.1,0.2,0.3,0.3
Andalucía,Almería,80+,1760,556,11,321,0.0,0.2,0.0,0.4
Andalucía,Cádiz,0-9,5877,30,2,0,0.2,0.0,0.0,0.0
Andalucía,Cádiz,10-19,9964,33,4,0,0.3,0.0,0.0,0.0
Andalucía,Cádiz,20-29,10724,99,5,4,0.3,0.0,0.0,0.0
Andalucía,Cádiz,30-39,12097,270,16,10,0.3,0.1,0.0,0.0
Andalucía,Cádiz,40-49,14261,500,42,13,0.4,0.1,0.1,0.0
Andalucía,Cádiz,50-59,12551,873,132,88,0.3,0.2,0.4,0.1
Andalucía,Cádiz,60-69,8052,1185,218,216,0.2,0.3,0.7000000000000001,0.3
Andalucía,Cádiz,70-79,4741,1257,188,368,0.1,0.4,0.6,0.5
Andalucía,Cádiz,80+,3725,1282,21,655,0.1,0.4,0.1,0.8999999999999999
Andalucía,Córdoba,0-9,3457,20,0,0,0.1,0.0,0.0,0.0
Andalucía,Córdoba,10-19,6712,32,2,0,0.2,0.0,0.0,0.0
Andalucía,Córdoba,20-29,7452,100,7,1,0.2,0.0,0.0,0.0
Andalucía,Córdoba,30-39,6972,197,28,3,0.2,0.1,0.1,0.0
Andalucía,Córdoba,40-49,8542,398,53,6,0.2,0.1,0.2,0.0
Andalucía,Córdoba,50-59,8744,802,133,34,0.2,0.2,0.4,0.0
Andalucía,Córdoba,60-69,5414,842,165,80,0.1,0.2,0.5,0.1
Andalucía,Córdoba,70-79,3287,872,132,183,0.1,0.2,0.4,0.2
Andalucía,Córdoba,80+,3551,1156,20,582,0.1,0.3,0.1,0.8
Andalucía,Granada,0-9,6072,32,0,0,0.2,0.0,0.0,0.0
Andalucía,Granada,10-19,11640,34,3,0,0.3,0.0,0.0,0.0
Andalucía,Granada,20-29,13043,183,22,6,0.4,0.1,0.1,0.0
Andalucía,Granada,30-39,12017,429,57,12,0.3,0.1,0.2,0.0
Andalucía,Granada,40-49,14496,840,116,25,0.4,0.2,0.3,0.0
Andalucía,Granada,50-59,13760,1413,249,83,0.4,0.4,0.8,0.1
Andalucía,Granada,60-69,8183,1568,334,196,0.2,0.4,1.0,0.3
Andalucía,Granada,70-79,4919,1562,238,408,0.1,0.4,0.7000000000000001,0.5
Andalucía,Granada,80+,5090,1825,19,910,0.1,0.5,0.1,1.2
Andalucía,Huelva,0-9,2527,19,0,0,0.1,0.0,0.0,0.0
Andalucía,Huelva,10-19,4358,16,0,0,0.1,0.0,0.0,0.0
Andalucía,Huelva,20-29,4584,77,1,0,0.1,0.0,0.0,0.0
Andalucía,Huelva,30-39,4861,148,8,1,0.1,0.0,0.0,0.0
Andalucía,Huelva,40-49,5805,292,10,5,0.2,0.1,0.0,0.0
Andalucía,Huelva,50-59,4920,405,33,16,0.1,0.1,0.1,0.0
Andalucía,Huelva,60-69,2774,453,49,37,0.1,0.1,0.1,0.0
Andalucía,Huelva,70-79,1602,386,37,76,0.0,0.1,0.1,0.1
Andalucía,Huelva,80+,1152,351,7,161,0.0,0.1,0.0,0.2
Andalucía,Jaén,0-9,3395,26,2,0,0.1,0.0,0.0,0.0
Andalucía,Jaén,10-19,5946,18,3,2,0.2,0.0,0.0,0.0
Andalucía,Jaén,20-29,7113,73,5,1,0.2,0.0,0.0,0.0
Andalucía,Jaén,30-39,6845,174,10,1,0.2,0.0,0.0,0.0
Andalucía,Jaén,40-49,7898,446,43,17,0.2,0.1,0.1,0.0
Andalucía,Jaén,50-59,8294,817,123,48,0.2,0.2,0.4,0.1
Andalucía,Jaén,60-69,5290,913,129,110,0.1,0.3,0.4,0.1
Andalucía,Jaén,70-79,2900,814,97,200,0.1,0.2,0.3,0.3
Andalucía,Jaén,80+,3307,1131,9,518,0.1,0.3,0.0,0.7000000000000001
Andalucía,Málaga,0-9,6746,35,2,1,0.2,0.0,0.0,0.0
Andalucía,Málaga,10-19,11915,43,2,1,0.3,0.0,0.0,0.0
Andalucía,Málaga,20-29,14822,215,14,5,0.4,0.1,0.0,0.0
Andalucía,Málaga,30-39,16381,441,20,5,0.4,0.1,0.1,0.0
Andalucía,Málaga,40-49,18375,947,58,16,0.5,0.3,0.2,0.0
Andalucía,Málaga,50-59,15056,1355,168,91,0.4,0.4,0.5,0.1
Andalucía,Málaga,60-69,9149,1639,245,212,0.2,0.5,0.7000000000000001,0.3
Andalucía,Málaga,70-79,5675,1684,206,436,0.2,0.5,0.6,0.6
Andalucía,Málaga,80+,4375,1615,30,795,0.1,0.5,0.1,1.0999999999999999
Andalucía,Sevilla,0-9,9205,73,4,0,0.2,0.0,0.0,0.0
Andalucía,Sevilla,10-19,16636,56,7,0,0.4,0.0,0.0,0.0
Andalucía,Sevilla,20-29,18383,227,8,6,0.5,0.1,0.0,0.0
Andalucía,Sevilla,30-39,19542,566,40,9,0.5,0.2,0.1,0.0
Andalucía,Sevilla,40-49,24185,1291,107,29,0.7000000000000001,0.4,0.3,0.0
Andalucía,Sevilla,50-59,19927,1965,233,126,0.5,0.6,0.7000000000000001,0.2
Andalucía,Sevilla,60-69,11351,2070,360,296,0.3,0.6,1.0999999999999999,0.4
Andalucía,Sevilla,70-79,7352,2248,279,501,0.2,0.6,0.8,0.7000000000000001
Andalucía,Sevilla,80+,5513,2048,22,953,0.1,0.6,0.1,1.3
Aragón,Huesca,0-9,1268,12,1,0,0.0,0.0,0.0,0.0
Aragón,Huesca,10-19,1833,5,0,0,0.0,0.0,0.0,0.0
Aragón,Huesca,20-29,2188,23,0,0,0.1,0.0,0.0,0.0
Aragón,Huesca,30-39,2174,48,3,1,0.1,0.0,0.0,0.0
Aragón,Huesca,40-49,2781,94,11,1,0.1,0.0,0.0,0.0
Aragón,Huesca,50-59,2617,199,32,7,0.1,0.1,0.1,0.0
Aragón,Huesca,60-69,1828,220,44,19,0.0,0.1,0.1,0.0
Aragón,Huesca,70-79,1206,268,51,62,0.0,0.1,0.2,0.1
Aragón,Huesca,80+,1842,533,6,271,0.0,0.2,0.0,0.4
Aragón,Teruel,0-9,981,3,0,0,0.0,0.0,0.0,0.0
Aragón,Teruel,10-19,1412,5,0,0,0.0,0.0,0.0,0.0
Aragón,Teruel,20-29,1488,17,1,0,0.0,0.0,0.0,0.0
Aragón,Teruel,30-39,1462,43,1,0,0.0,0.0,0.0,0.0
Aragón,Teruel,40-49,1933,71,2,3,0.1,0.0,0.0,0.0
Aragón,Teruel,50-59,2121,158,16,9,0.1,0.0,0.0,0.0
Aragón,Teruel,60-69,1341,208,46,22,0.0,0.1,0.1,0.0
Aragón,Teruel,70-79,892,203,19,34,0.0,0.1,0.1,0.0
Aragón,Teruel,80+,1343,439,8,229,0.0,0.1,0.0,0.3
Aragón,Zaragoza,0-9,6094,53,7,0,0.2,0.0,0.0,0.0
Aragón,Zaragoza,10-19,9332,40,2,0,0.3,0.0,0.0,0.0
Aragón,Zaragoza,20-29,10778,181,5,1,0.3,0.1,0.0,0.0
Aragón,Zaragoza,30-39,11176,405,34,5,0.3,0.1,0.1,0.0
Aragón,Zaragoza,40-49,14630,875,69,15,0.4,0.2,0.2,0.0
Aragón,Zaragoza,50-59,13304,1375,149,68,0.4,0.4,0.4,0.1
Aragón,Zaragoza,60-69,8770,1588,225,188,0.2,0.5,0.7000000000000001,0.2
Aragón,Zaragoza,70-79,6178,1827,245,449,0.2,0.5,0.7000000000000001,0.6
Aragón,Zaragoza,80+,7798,3054,162,1706,0.2,0.8999999999999999,0.5,2.3
Canarias,Las Palmas,0-9,2186,15,0,1,0.1,0.0,0.0,0.0
Canarias,Las Palmas,10-19,3348,19,2,0,0.1,0.0,0.0,0.0
Canarias,Las Palmas,20-29,5178,99,11,0,0.1,0.0,0.0,0.0
Canarias,Las Palmas,30-39,5093,176,34,2,0.1,0.1,0.1,0.0
Canarias,Las Palmas,40-49,5355,294,70,9,0.1,0.1,0.2,0.0
Canarias,Las Palmas,50-59,4445,427,112,21,0.1,0.1,0.3,0.0
Canarias,Las Palmas,60-69,2547,540,183,56,0.1,0.2,0.6,0.1
Canarias,Las Palmas,70-79,1487,471,149,74,0.0,0.1,0.4,0.1
Canarias,Las Palmas,80+,857,367,42,101,0.0,0.1,0.1,0.1
Canarias,Santa Cruz de Tenerife,0-9,1850,8,2,0,0.0,0.0,0.0,0.0
Canarias,Santa Cruz de Tenerife,10-19,2842,15,1,0,0.1,0.0,0.0,0.0
Canarias,Santa Cruz de Tenerife,20-29,3792,77,9,2,0.1,0.0,0.0,0.0
Canarias,Santa Cruz de Tenerife,30-39,4247,156,28,7,0.1,0.0,0.1,0.0
Canarias,Santa Cruz de Tenerife,40-49,4800,283,46,9,0.1,0.1,0.1,0.0
Canarias,Santa Cruz de Tenerife,50-59,3862,441,96,26,0.1,0.1,0.3,0.0
Canarias,Santa Cruz de Tenerife,60-69,2454,481,136,42,0.1,0.1,0.4,0.1
Canarias,Santa Cruz de Tenerife,70-79,1452,500,133,103,0.0,0.1,0.4,0.1
